,Player Name,Average,Matches
731,Tanwir Afzal*,14.285714285714285,14
732,C Carter,133.33333333333331,3
733,Iftikhar Ahmed,0.0,1
734,Zafar Gohar,0.0,4
735,Waqas Khan,5.88235294117647,17
736,Yamin Ahmadzai,0.0,2
737,P J Moor,26.08695652173913,23
738,M D Gunathilaka,226.66666666666666,15
739,H M Nicholls,0.0,1
740,J D F Vandersay,183.8709677419355,31
741,I S Sodhi,300.0,1
742,Gurkeerat Singh,164.0,50
743,R Dhawan,118.75,16
744,S M Boland,100.0,35
745,Mohammad Amir,0.0,8
746,J J Atkinson,133.33333333333331,6
747,Ishtiaq Muhammad,8.333333333333332,12
748,B T J Wheal,0.0,9
749,A Zampa,0.0,3
750,T Shamsi,106.25,16
751,A G Cremer*,37.5,8
752,K L Rahul,100.0,1
753,K K Nair,108.33333333333333,24
754,T M Head,300.0,10
755,F Y Fazal,0.0,1
756,B K G Mendis,66.66666666666666,9
757,M D Shanaka,57.14285714285714,7
758,D M de Silva,0.0,7
759,S T Gabriel,0.0,7
760,J M Vince,47.82608695652174,23
761,B J McCarthy,266.66666666666663,3
762,P K D Chase,200.0,14
763,S P Terry,66.66666666666666,3
764,C D Wallace,0.0,2
765,C D de Lange,30.76923076923077,13
766,L Sreekumar,0.0,2
767,Muhammad Usman,300.0,4
768,Rameez Shahzad,28.57142857142857,7
769,Amjad Javed*,25.0,4
770,Mohammad Nawaz,68.42105263157895,19
771,M D K Perera,140.0,5
772,M A Aponso,0.0,1
773,P A D L R Sandakan,66.66666666666666,21
774,Hasan Ali,0.0,1
775,D A Warner*,400.0,1
776,W I A Fernando,500.0,2
777,A K Perera,100.0,1
778,L A Dawson,108.0,25
779,M R J Watt,0.0,9
780,Naveen -ul-Haq,0.0,1
781,T Bavuma,66.66666666666666,6
782,D Pretorius,250.0,10
